_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,data_year,data_quarter,property_age,price_per_sqm,transaction_date,storey_start,storey_end,storey_mid,block_numeric
58293,2019-10,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1978,57 years 03 months,186000.0,2019,4,47,4227.272727272727,2019-10-01,10,12,11.0,314
58294,2019-10,ANG MO KIO,2 ROOM,116,ANG MO KIO AVE 4,04 TO 06,44.0,Improved,1978,57 years 07 months,187000.0,2019,4,47,4250.0,2019-10-01,4,6,5.0,116
58295,2019-10,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,58 years 08 months,223000.0,2019,4,46,5068.181818181818,2019-10-01,10,12,11.0,406
58296,2019-10,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1979,58 years 10 months,235000.0,2019,4,46,3507.4626865671644,2019-10-01,7,9,8.0,442
58297,2019-10,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,58 years 11 months,240000.0,2019,4,46,3582.089552238806,2019-10-01,10,12,11.0,442
58298,2019-10,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,59 years 08 months,240000.0,2019,4,45,3582.089552238806,2019-10-01,1,3,2.0,601
58299,2019-10,ANG MO KIO,3 ROOM,432,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,58 years 03 months,245000.0,2019,4,46,3656.716417910448,2019-10-01,4,6,5.0,432
58300,2019-10,ANG MO KIO,3 ROOM,538,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1980,59 years 04 months,245000.0,2019,4,45,3602.9411764705883,2019-10-01,4,6,5.0,538
58301,2019-10,ANG MO KIO,3 ROOM,603,ANG MO KIO AVE 5,07 TO 09,67.0,New Generation,1980,59 years 08 months,245000.0,2019,4,45,3656.716417910448,2019-10-01,7,9,8.0,603
58302,2019-10,ANG MO KIO,3 ROOM,212,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1977,56 years 07 months,250000.0,2019,4,48,3731.3432835820895,2019-10-01,7,9,8.0,212
58303,2019-10,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1980,59 years 04 months,252000.0,2019,4,45,3761.194029850746,2019-10-01,1,3,2.0,560
58304,2019-10,ANG MO KIO,3 ROOM,475,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,58 years 09 months,255000.0,2019,4,46,3805.9701492537315,2019-10-01,4,6,5.0,475
58305,2019-10,ANG MO KIO,3 ROOM,475,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,58 years 09 months,255000.0,2019,4,46,3805.9701492537315,2019-10-01,10,12,11.0,475
