_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,data_year,data_quarter,property_age,price_per_sqm,transaction_date,storey_start,storey_end,storey_mid,block_numeric
144153,2023-10,ANG MO KIO,3 ROOM,471,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,54 years 09 months,338000.0,2023,4,46,5044.776119402985,2023-10-01,4,6,5.0,471
144154,2023-10,ANG MO KIO,3 ROOM,606,ANG MO KIO AVE 5,04 TO 06,67.0,New Generation,1980,55 years 08 months,338000.0,2023,4,45,5044.776119402985,2023-10-01,4,6,5.0,606
144155,2023-10,ANG MO KIO,3 ROOM,461,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,55 years 05 months,340000.0,2023,4,45,5000.0,2023-10-01,1,3,2.0,461
144156,2023-10,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,53 years 11 months,341800.0,2023,4,47,5101.492537313433,2023-10-01,1,3,2.0,110
144157,2023-10,ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,55 years 05 months,345000.0,2023,4,45,5073.529411764706,2023-10-01,1,3,2.0,534
144158,2023-10,ANG MO KIO,3 ROOM,461,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,55 years 05 months,350000.0,2023,4,45,5147.058823529412,2023-10-01,1,3,2.0,461
144159,2023-10,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,54 years 10 months,350000.0,2023,4,46,5223.880597014925,2023-10-01,1,3,2.0,476
144160,2023-10,ANG MO KIO,3 ROOM,211,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1977,52 years 06 months,350000.0,2023,4,48,5223.880597014925,2023-10-01,4,6,5.0,211
144161,2023-10,ANG MO KIO,3 ROOM,157,ANG MO KIO AVE 4,01 TO 03,69.0,New Generation,1980,56 years,350000.0,2023,4,45,5072.463768115942,2023-10-01,1,3,2.0,157
144162,2023-10,ANG MO KIO,3 ROOM,170,ANG MO KIO AVE 4,01 TO 03,60.0,Improved,1986,61 years 04 months,350000.0,2023,4,39,5833.333333333333,2023-10-01,1,3,2.0,170
144163,2023-10,ANG MO KIO,3 ROOM,170,ANG MO KIO AVE 4,04 TO 06,60.0,Improved,1986,61 years 04 months,350000.0,2023,4,39,5833.333333333333,2023-10-01,4,6,5.0,170
144164,2023-10,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,01 TO 03,75.0,New Generation,1980,55 years 03 months,355000.0,2023,4,45,4733.333333333333,2023-10-01,1,3,2.0,457
144165,2023-10,ANG MO KIO,3 ROOM,462,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,55 years 04 months,355000.0,2023,4,45,5220.588235294118,2023-10-01,4,6,5.0,462
144166,2023-10,ANG MO KIO,3 ROOM,332,ANG MO KIO AVE 1,07 TO 09,68.0,New Generation,1981,56 years 03 months,360000.0,2023,4,44,5294.117647058823,2023-10-01,7,9,8.0,332
144167,2023-10,ANG MO KIO,3 ROOM,211,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1977,52 years 06 months,360000.0,2023,4,48,5373.134328358209,2023-10-01,1,3,2.0,211
144168,2023-10,ANG MO KIO,3 ROOM,170,ANG MO KIO AVE 4,07 TO 09,60.0,Improved,1986,61 years 04 months,360000.0,2023,4,39,6000.0,2023-10-01,7,9,8.0,170
144169,2023-10,ANG MO KIO,3 ROOM,605,ANG MO KIO AVE 5,04 TO 06,67.0,New Generation,1980,55 years 09 months,360000.0,2023,4,45,5373.134328358209,2023-10-01,4,6,5.0,605
144170,2023-10,ANG MO KIO,3 ROOM,504,ANG MO KIO AVE 8,04 TO 06,68.0,New Generation,1980,55 years 11 months,360000.0,2023,4,45,5294.117647058823,2023-10-01,4,6,5.0,504
144171,2023-10,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,10 TO 12,67.0,New Generation,1980,55 years 09 months,373000.0,2023,4,45,5567.164179104478,2023-10-01,10,12,11.0,602
144172,2023-10,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,07 TO 09,68.0,New Generation,1980,56 years 02 months,375000.0,2023,4,45,5514.705882352941,2023-10-01,7,9,8.0,610
144173,2023-10,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,51 years 06 months,380000.0,2023,4,49,5205.479452054795,2023-10-01,10,12,11.0,215
144174,2023-10,ANG MO KIO,3 ROOM,644,ANG MO KIO AVE 4,04 TO 06,75.0,New Generation,1980,56 years 03 months,380000.0,2023,4,45,5066.666666666667,2023-10-01,4,6,5.0,644
