_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,data_year,data_quarter,property_age,price_per_sqm,transaction_date,storey_start,storey_end,storey_mid,block_numeric
169167,2024-07,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,01 TO 03,45.0,Improved,1986,60 years 06 months,320000.0,2024,3,39,7111.111111111111,2024-07-01,1,3,2.0,174
169204,2024-07,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,55 years 08 months,410000.0,2024,3,44,6029.411764705882,2024-07-01,4,6,5.0,333
169205,2024-07,ANG MO KIO,3 ROOM,220,ANG MO KIO AVE 1,10 TO 12,67.0,New Generation,1977,52 years 01 month,390000.0,2024,3,48,5820.895522388059,2024-07-01,10,12,11.0,220
169206,2024-07,ANG MO KIO,3 ROOM,320,ANG MO KIO AVE 1,04 TO 06,88.0,New Generation,1977,51 years 11 months,440000.0,2024,3,48,5000.0,2024-07-01,4,6,5.0,320
169207,2024-07,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,01 TO 03,67.0,New Generation,1976,50 years 11 months,370000.0,2024,3,49,5522.388059701492,2024-07-01,1,3,2.0,218
169208,2024-07,ANG MO KIO,3 ROOM,307C,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,87 years 03 months,660000.0,2024,3,13,9428.57142857143,2024-07-01,19,21,20.0,307
169209,2024-07,ANG MO KIO,3 ROOM,223,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1978,52 years 07 months,405000.0,2024,3,47,6044.776119402985,2024-07-01,7,9,8.0,223
169210,2024-07,ANG MO KIO,3 ROOM,320,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,51 years 11 months,460000.0,2024,3,48,6301.369863013699,2024-07-01,4,6,5.0,320
169317,2024-07,ANG MO KIO,3 ROOM,440,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,53 years 08 months,380000.0,2024,3,46,5671.641791044776,2024-07-01,1,3,2.0,440
169318,2024-07,ANG MO KIO,3 ROOM,554,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,55 years 07 months,365000.0,2024,3,44,5367.64705882353,2024-07-01,1,3,2.0,554
169319,2024-07,ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,53 years 07 months,380000.0,2024,3,46,5671.641791044776,2024-07-01,10,12,11.0,435
169320,2024-07,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,10 TO 12,74.0,New Generation,1979,54 years 02 months,416000.0,2024,3,46,5621.621621621622,2024-07-01,10,12,11.0,417
