_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,data_year,data_quarter,property_age,price_per_sqm,transaction_date,storey_start,storey_end,storey_mid,block_numeric
64257,2020-01,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,55 years 07 months,265000,2020,1,49,3630.1369863013697,2020-01-01,4,6,5.0,208
64258,2020-01,ANG MO KIO,3 ROOM,307C,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,91 years 08 months,470000,2020,1,13,6714.285714285715,2020-01-01,19,21,20.0,307
64259,2020-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1977,56 years 04 months,230000,2020,1,48,3150.6849315068494,2020-01-01,1,3,2.0,319
64260,2020-01,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,55 years 03 months,280000,2020,1,49,3835.6164383561645,2020-01-01,4,6,5.0,216
64261,2020-01,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1980,59 years 01 month,220000,2020,1,45,3235.294117647059,2020-01-01,7,9,8.0,556
64262,2020-01,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,59 years 01 month,280000,2020,1,45,4117.64705882353,2020-01-01,10,12,11.0,536
64263,2020-01,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1980,59 years 01 month,240000,2020,1,45,3582.089552238806,2020-01-01,4,6,5.0,560
64264,2020-01,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,04 TO 06,82.0,New Generation,1980,59 years 02 months,301000,2020,1,45,3670.731707317073,2020-01-01,4,6,5.0,463
64265,2020-01,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,255000,2020,1,46,3805.9701492537315,2020-01-01,1,3,2.0,476
64266,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,233000,2020,1,46,3477.6119402985073,2020-01-01,1,3,2.0,442
64267,2020-01,ANG MO KIO,3 ROOM,578,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1980,59 years,250000,2020,1,45,3731.3432835820895,2020-01-01,7,9,8.0,578
64268,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,58 years 07 months,245000,2020,1,46,3656.716417910448,2020-01-01,4,6,5.0,442
64269,2020-01,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,255000,2020,1,46,3805.9701492537315,2020-01-01,1,3,2.0,445
64270,2020-01,ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,58 years,288000,2020,1,46,4298.507462686567,2020-01-01,4,6,5.0,435
64271,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,235000,2020,1,46,3507.4626865671644,2020-01-01,1,3,2.0,442
64272,2020-01,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1984,63 years 08 months,268000,2020,1,41,4000.0,2020-01-01,7,9,8.0,466
64273,2020-01,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1979,58 years 05 months,240000,2020,1,46,3582.089552238806,2020-01-01,4,6,5.0,570
