_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,data_year,data_quarter,property_age,price_per_sqm,transaction_date,storey_start,storey_end,storey_mid,block_numeric
15160,2017-10,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1979,60 years 08 months,248000.0,2017,4,46,3701.492537313433,2017-10-01,1,3,2.0,571
15161,2017-10,ANG MO KIO,3 ROOM,451,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,60 years 10 months,260000.0,2017,4,46,3823.529411764706,2017-10-01,4,6,5.0,451
15162,2017-10,ANG MO KIO,3 ROOM,451,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1979,60 years 09 months,262000.0,2017,4,46,3852.9411764705883,2017-10-01,1,3,2.0,451
15163,2017-10,ANG MO KIO,3 ROOM,232,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1977,59 years,265000.0,2017,4,48,3955.223880597015,2017-10-01,4,6,5.0,232
15164,2017-10,ANG MO KIO,3 ROOM,606,ANG MO KIO AVE 5,10 TO 12,67.0,New Generation,1980,61 years 08 months,265000.0,2017,4,45,3955.223880597015,2017-10-01,10,12,11.0,606
15165,2017-10,ANG MO KIO,3 ROOM,444,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,60 years 10 months,270000.0,2017,4,46,4029.8507462686566,2017-10-01,1,3,2.0,444
15166,2017-10,ANG MO KIO,3 ROOM,577,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1980,61 years 03 months,270000.0,2017,4,45,4029.8507462686566,2017-10-01,7,9,8.0,577
15167,2017-10,ANG MO KIO,3 ROOM,611,ANG MO KIO AVE 5,07 TO 09,67.0,New Generation,1980,61 years 08 months,270000.0,2017,4,45,4029.8507462686566,2017-10-01,7,9,8.0,611
15168,2017-10,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,04 TO 06,68.0,New Generation,1981,62 years 06 months,275000.0,2017,4,44,4044.1176470588234,2017-10-01,4,6,5.0,178
15169,2017-10,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,07 TO 09,68.0,New Generation,1981,62 years 03 months,275000.0,2017,4,44,4044.1176470588234,2017-10-01,7,9,8.0,153
15170,2017-10,ANG MO KIO,3 ROOM,180,ANG MO KIO AVE 5,07 TO 09,68.0,New Generation,1981,62 years 06 months,276500.0,2017,4,44,4066.176470588235,2017-10-01,7,9,8.0,180
15171,2017-10,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,60 years,280000.0,2017,4,47,4179.104477611941,2017-10-01,1,3,2.0,121
15172,2017-10,ANG MO KIO,3 ROOM,565,ANG MO KIO AVE 3,10 TO 12,68.0,New Generation,1980,61 years 03 months,280000.0,2017,4,45,4117.64705882353,2017-10-01,10,12,11.0,565
15173,2017-10,ANG MO KIO,3 ROOM,172,ANG MO KIO AVE 4,04 TO 06,69.0,Improved,1986,67 years 03 months,280000.0,2017,4,39,4057.9710144927535,2017-10-01,4,6,5.0,172
15174,2017-10,ANG MO KIO,3 ROOM,471,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,60 years 09 months,282000.0,2017,4,46,4208.955223880597,2017-10-01,10,12,11.0,471
15175,2017-10,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,07 TO 09,68.0,New Generation,1980,62 years 01 month,284888.0,2017,4,45,4189.529411764706,2017-10-01,7,9,8.0,610
15176,2017-10,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,07 TO 09,67.0,New Generation,1978,59 years 10 months,285000.0,2017,4,47,4253.731343283582,2017-10-01,7,9,8.0,109
15177,2017-10,ANG MO KIO,3 ROOM,549,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,62 years 03 months,285888.0,2017,4,44,4204.235294117647,2017-10-01,1,3,2.0,549
15178,2017-10,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,04 TO 06,67.0,New Generation,1978,59 years 10 months,287000.0,2017,4,47,4283.582089552238,2017-10-01,4,6,5.0,110
