_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,data_year,data_quarter,property_age,price_per_sqm,transaction_date,storey_start,storey_end,storey_mid,block_numeric
4174,2017-04,ANG MO KIO,2 ROOM,170,ANG MO KIO AVE 4,01 TO 03,45.0,Improved,1986,67 years 11 months,205000.0,2017,2,39,4555.555555555556,2017-04-01,1,3,2.0,170
4175,2017-04,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,04 TO 06,45.0,Improved,1986,67 years 09 months,210000.0,2017,2,39,4666.666666666667,2017-04-01,4,6,5.0,174
4176,2017-04,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,07 TO 09,44.0,Improved,1980,62 years 02 months,239000.0,2017,2,45,5431.818181818182,2017-04-01,7,9,8.0,510
4177,2017-04,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1978,59 years 09 months,250000.0,2017,2,47,5681.818181818182,2017-04-01,10,12,11.0,314
4178,2017-04,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,61 years 10 months,260000.0,2017,2,45,3823.529411764706,2017-04-01,1,3,2.0,536
4179,2017-04,ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1981,62 years 10 months,270000.0,2017,2,44,3970.5882352941176,2017-04-01,4,6,5.0,542
4180,2017-04,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,01 TO 03,68.0,New Generation,1985,66 years 10 months,282000.0,2017,2,40,4147.058823529412,2017-04-01,1,3,2.0,564
4181,2017-04,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,61 years 10 months,283000.0,2017,2,45,4161.764705882353,2017-04-01,1,3,2.0,463
4182,2017-04,ANG MO KIO,3 ROOM,163,ANG MO KIO AVE 4,04 TO 06,69.0,New Generation,1980,62 years 06 months,285000.0,2017,2,45,4130.434782608696,2017-04-01,4,6,5.0,163
4183,2017-04,ANG MO KIO,3 ROOM,124,ANG MO KIO AVE 6,01 TO 03,67.0,New Generation,1979,60 years 09 months,285000.0,2017,2,46,4253.731343283582,2017-04-01,1,3,2.0,124
4184,2017-04,ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,04 TO 06,68.0,New Generation,1980,62 years 05 months,290000.0,2017,2,45,4264.705882352941,2017-04-01,4,6,5.0,639
4185,2017-04,ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,01 TO 03,68.0,New Generation,1980,62 years 05 months,293000.0,2017,2,45,4308.823529411765,2017-04-01,1,3,2.0,639
4186,2017-04,ANG MO KIO,3 ROOM,156,ANG MO KIO AVE 4,10 TO 12,68.0,New Generation,1981,63 years 01 month,295000.0,2017,2,44,4338.235294117647,2017-04-01,10,12,11.0,156
4187,2017-04,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,07 TO 09,67.0,New Generation,1985,66 years 10 months,296000.0,2017,2,40,4417.910447761194,2017-04-01,7,9,8.0,631
4188,2017-04,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,62 years 09 months,298000.0,2017,2,44,4382.35294117647,2017-04-01,1,3,2.0,541
4189,2017-04,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,01 TO 03,68.0,New Generation,1981,62 years 09 months,300000.0,2017,2,44,4411.764705882353,2017-04-01,1,3,2.0,333
